App Name,App ID
flipline.papashotdoggeriahd,air.com.flipline.papashotdoggeriahd
flipline.papashotdoggeriatogo,air.com.flipline.papashotdoggeriatogo
one.calculator,all.in.one.calculator
threedotscollectemall,and.lihuhu.threedotscollectemall
woober,and.lihuhu.woober
android,app.getjrpass.android
fiereck.placar,br.com.fiereck.placar
lifeintheuk,ca.reev.lifeintheuk
app,co.hinge.app
kawaii.hotspring,co.imba.kawaii.hotspring
rosebud,co.justimagine.rosebud
liukfree,co.spurry.liukfree
app.id_BrDtBG7PIX,co.tapcart.app.id_BrDtBG7PIX
app.id_DRDAhmtAQf,co.tapcart.app.id_DRDAhmtAQf
yellowapp,co.yellw.yellowapp
PCSimulator,com.BStudio.PCSimulator
PCTycoon2,com.InsignisGames.PCTycoon2
PCTycoon2Pro,com.InsignisGames.PCTycoon2Pro
OfflineGames,com.JindoBlu.OfflineGames
GamesInOneWatchGames,com.MustBeFun.GamesInOneWatchGames
Englandsoccer,com.PecbaGames.Englandsoccer
TeleWeb104394,com.ProfitStars.TeleWeb104394
intl,com.UCMobile.intl
Wagotabi,com.WagotabiLimited.Wagotabi
android,com.aa.android
appli.hybrid,com.accor.appli.hybrid
callofduty.shooter,com.activision.callofduty.shooter
diary,com.adpog.diary
mobilebanking,com.afcu.mobilebanking
ahakanji,com.ahancer.ahakanji
aimate,com.aichatbot.aimate
aliexpresshd,com.alibaba.aliexpresshd
mobile.flutter,com.alison.mobile.flutter
alltrails,com.alltrails.alltrails
avod.thirdpartyclient,com.amazon.avod.thirdpartyclient
imdb.tv.mobile.app,com.amazon.imdb.tv.mobile.app
,com.americanHealthMarketplace
android.acctsvcs.us,com.americanexpress.android.acctsvcs.us
ecards,com.americangreetings.ecards
chrome,com.android.chrome
livewallpaper.england,com.androidwasabi.livewallpaper.england
aomi,com.aomiapp.aomi
mirror,com.apowersoft.mirror
england_free,com.app4joy.england_free
number.puzzle,com.appcraft.number.puzzle
wabi.virtual_number,com.applaudsoft.wabi.virtual_number
android.music,com.apple.android.music
atve.androidtv.appletv,com.apple.atve.androidtv.appletv
atve.sony.appletv,com.apple.atve.sony.appletv
il.hotvod,com.applicaster.il.hotvod
englandsdar,com.apptegy.englandsdar
englishcounties,com.asmolgam.englishcounties
italk.ja,com.atistudios.italk.ja
italk.us,com.atistudios.italk.us
italk.zh,com.atistudios.italk.zh
ventocom.hofer,com.austrianapps.ventocom.hofer
apps.user.android,com.avinty.apps.user.android
,com.barcodetopc
android,com.bestbuy.android
hotfarm,com.beyondcart.hotfarm
jump,com.bgg.jump
diary,com.bigheadtechies.diary
cookingmadness,com.biglime.cookingmadness
hyperdroid,com.binary.hyperdroid
shadowcloudgaming,com.blade.shadowcloudgaming
juggle,com.block.juggle
pcparts,com.boulla.pcparts
second.phone,com.bpmobile.second.phone
browser,com.brave.browser
googleplay.HotWheelsUnlimited,com.budgestudios.googleplay.HotWheelsUnlimited
buildcores_android,com.buildcores.buildcores_android
,com.bunpoapp
xtian.journal,com.bzn.xtian.journal
mykidsplace,com.cancriesolutions.mykidsplace
android,com.carters.android
android.brand.hottable,com.ce.android.brand.hottable
cloudgame.platform,com.cga.cloudgame.platform
gymmobileapp,com.childrensplace.gymmobileapp
tcpmobileapp,com.childrensplace.tcpmobileapp
cards,com.chineasy.cards
,com.chinesegrammar
,com.chineseskill
miss.england,com.choicely.miss.england
chineseparents.gp,com.cig.chineseparents.gp
android,com.classdojo.android
onlinechat.android.video,com.comhub.onlinechat.android.video
enduser,com.connect.enduser
virtualLeaderboard,com.crazykoder.virtualLeaderboard
diary.mood.journal,com.daily.diary.mood.journal
journal.diary.lock.mood.tracker.free,com.daily.journal.diary.lock.mood.tracker.free
communication,com.dailylife.communication
dayone,com.dayoneapp.dayone
automotive.taxibell,com.dena.automotive.taxibell
app,com.devhao2learn.app
HotFit,com.device.HotFit
,com.discord
klotski.riddle,com.dopuz.klotski.riddle
languages,com.dotlanguages.languages
royalmatch,com.dreamgames.royalmatch
android,com.dropbox.android
